pitch,time,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,mfcc_50,mfcc_51,mfcc_52,mfcc_53,mfcc_54,mfcc_55,mfcc_56,mfcc_57,mfcc_58,mfcc_59,mfcc_60,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12
1951.9172,0.0,-281.77554,185.36453,10.159117,-24.149622,-10.962676,-29.684483,-23.472515,0.24757463,0.4503463,0.022883952,3.553247,-4.64103,-3.5610578,6.5249457,-0.77980006,-10.387266,-4.5519314,-5.216969,-12.103233,-1.529756,7.495852,-6.13632,-14.85112,-5.3405285,1.1594117,0.6208341,-2.0221865,-6.797366,-2.3204646,5.2288885,-5.2619543,-16.304043,-8.075481,-2.5909054,-6.281115,-1.3280046,4.030899,-0.5625317,-2.44667,-0.07412523,-3.476204,-7.369666,-3.8684554,2.106475,3.214808,-2.5146472,-9.206514,-7.4527407,0.90194064,3.3116498,-1.3970737,-2.3934276,-1.4405336,-3.6892877,-1.1295273,2.9813757,-0.6810005,-0.9699741,3.9669454,-0.22519079,0.15680897,0.26857084,0.4605674,0.64925146,0.8963189,1.0,0.5508248,0.3326482,0.60723686,0.8928782,0.69764334,0.34526196
1338.4698,0.011609977324263039,-226.11676,221.03236,1.8051747,-22.697527,-8.321239,-39.45862,-27.389631,5.632516,0.85400283,-4.364167,1.0691751,-1.8730966,2.2216942,7.827548,0.055263117,-11.911177,-8.460927,-2.1986258,-12.670641,-8.110905,6.9806695,-2.1896813,-12.549623,-6.350852,-0.63193524,1.1816382,-0.33999142,-9.937383,-5.825706,7.5185137,-5.995082,-15.97102,-1.5244213,0.51090145,-7.0056977,-5.376318,-2.8789191,-4.1644487,-2.6912713,-0.57001585,-4.274352,-8.982332,-8.117609,-0.26303256,3.1274633,-2.658505,-7.048748,-8.011778,-3.3469205,-0.65947646,-6.4360666,-5.7443666,-1.6134105,-4.1149817,0.0009108186,9.206381,5.8660073,4.4872417,11.449932,3.0791972,0.11715293,0.31244677,0.4849089,0.39186653,0.33251125,0.93759364,1.0,0.38985717,0.33162776,0.576127,0.230099,0.11750633
1272.9385,0.023219954648526078,-214.38919,230.32161,-0.13007608,-29.768183,-9.476284,-36.471466,-32.123688,4.8770194,5.4938135,-7.656699,-1.8618546,0.34936792,2.298874,7.077937,3.275142,-10.805291,-11.5127125,-1.2366793,-13.710821,-13.127777,8.37835,3.2716794,-8.653538,-7.759053,-6.8394213,-1.4856323,-0.5116921,-12.3460655,-7.473608,7.468813,-5.1419134,-12.704265,2.238021,1.7508204,-9.08664,-8.603411,-3.723974,-3.7860627,-2.0932329,-0.17725545,-4.547356,-7.2414894,-8.258684,-5.1541557,-0.713275,-2.9090834,-5.375476,-6.1823244,-2.5014887,-3.2797809,-9.509668,-5.321361,-4.330618,-7.798046,-0.4693731,7.4706597,8.249239,11.991066,18.862547,10.981455,0.09225309,0.32289436,0.4075417,0.15223555,0.15803681,0.96567464,1.0,0.20370156,0.37865326,0.5049228,0.07341173,0.07121715
1288.3987,0.034829931972789115,-213.22919,223.54727,-1.2718469,-28.971024,-17.536392,-34.016724,-31.213852,2.552559,8.4183445,-4.9632835,-3.9081588,-2.941951,6.4270344,5.1035194,0.14751506,-7.4906416,-12.9972725,-0.9965154,-17.553148,-18.260426,8.979148,-0.54752094,-9.336775,-6.3412943,-9.315853,-2.573903,-1.4051511,-15.893008,-11.398428,8.968783,-3.7914355,-14.893795,2.3753006,1.7693335,-9.867512,-6.630257,-1.3768234,-4.666077,-1.0344801,2.2182984,-4.786708,-5.6458464,-10.642628,-11.376671,-2.8725064,-2.634623,-3.860395,-6.360672,-3.9288034,-6.252713,-14.489584,-9.141137,-5.9536543,-2.2131596,5.3078747,10.851465,18.997078,22.87484,24.400522,12.502928,0.09263146,0.17875552,0.33189026,0.123104446,0.0783355,0.6346587,1.0,0.13008839,0.18495902,0.41109625,0.07452316,0.05393582
1299.1676,0.046439909297052155,-220.70863,215.16257,7.3038177,-24.848724,-23.759861,-29.161018,-30.594303,0.5442795,0.66230613,-5.766598,1.5851266,-12.115843,4.478199,-0.6764446,-12.171902,-7.5466824,-8.179021,6.3663845,-16.743383,-18.31643,8.311807,-6.7277327,-10.488052,-4.5737047,-5.11184,-2.5886421,-2.4401028,-14.502281,-17.053701,5.0094786,-6.5980787,-19.430992,1.4194269,2.0652814,-11.114359,-5.7749095,2.171896,-8.396318,-4.2124257,2.866303,-8.451595,-7.3862953,-10.065924,-9.240991,-1.5115918,-0.8537066,-0.1897155,-6.496542,-4.2606506,-8.755845,-17.069416,-8.635899,-4.44977,3.917374,11.0988655,15.637548,21.548864,20.885075,21.935333,8.418229,0.1313247,0.13511313,0.31219757,0.12119296,0.05095878,0.38254654,1.0,0.15994024,0.08626878,0.42363298,0.14141111,0.06239072
1299.7507,0.058049886621315196,-219.51546,213.72176,5.592127,-23.826319,-22.843197,-31.2387,-34.40312,1.6663312,-2.3683033,-13.126415,0.70311946,-13.969026,5.1766853,0.83319527,-17.42456,-6.38309,-7.2058005,3.0005846,-11.554356,-12.62649,7.844261,-12.746275,-16.22844,-0.71819943,-2.151975,-5.782758,-0.4913453,-7.9026647,-17.789227,-2.103338,-8.844702,-19.872612,1.3214233,5.266198,-13.271257,-9.952452,1.544168,-10.848139,-4.051188,6.167143,-8.922859,-10.780491,-11.888669,-5.5456967,2.2716627,-2.8159957,-1.3412354,-5.143279,-4.8636923,-9.761499,-15.294596,-6.0881386,-4.176046,6.2296176,16.57971,18.626438,21.787062,18.061024,17.023111,7.845102,0.13909067,0.17193308,0.4805291,0.2282669,0.08172747,0.32705548,1.0,0.19516765,0.1008691,0.63363886,0.300679,0.07610126
1326.0784,0.06965986394557823,-223.19145,216.73163,7.470615,-21.772242,-20.364841,-36.986298,-31.158268,6.0263586,-2.310776,-16.805218,-0.059778452,-8.006307,3.1075592,4.6687326,-12.907151,-8.474915,-8.344664,-3.0093682,-9.048193,-9.498716,7.4071217,-8.407509,-17.809704,-2.8203673,-4.261201,-6.883179,0.693581,-6.218958,-12.377519,-2.1846614,-8.840524,-20.493029,-3.633363,6.7314186,-14.4498,-13.462747,3.1624296,-10.261792,-5.0526295,6.5827303,-6.8371015,-9.428246,-9.669606,-3.268745,1.707268,-3.911779,-3.225092,-7.309704,-5.1692915,-8.678433,-14.097773,-3.8263888,-0.96708107,9.727247,21.230085,23.51027,26.113697,15.293392,7.3296857,1.9477662,0.1578351,0.21648978,0.97968155,0.7730674,0.1720667,0.25864336,1.0,0.45125258,0.119108774,0.9274661,0.6703284,0.08296004
1337.542,0.08126984126984127,-236.67145,212.46472,13.254433,-22.730312,-23.95272,-36.10381,-23.055874,8.979173,-3.4375396,-14.270872,3.7169616,-6.0426216,0.35339725,7.3303094,-5.7103376,-5.460224,-5.0739985,-0.65586233,-8.6858225,-11.24603,6.5729146,-3.278018,-15.171057,-7.2236443,-7.207246,-5.0938716,1.2380003,-6.0301037,-8.81916,0.94179904,-8.02808,-21.397861,-4.3069663,6.6338415,-15.578104,-13.850292,5.6848,-7.555853,-8.600766,1.4037333,-7.1607704,-7.455809,-6.435418,-3.1284313,-0.910136,-4.9721537,-6.225824,-11.820871,-6.7374516,-6.784935,-11.912423,-0.31383765,6.986997,17.83541,26.279354,26.810541,28.788427,15.501912,3.905727,-1.2478601,0.12933351,0.17464866,0.9841738,1.0,0.16707641,0.10047007,0.44954115,0.3803621,0.053251017,0.5493763,0.65509087,0.0764986
1343.7007,0.09287981859410431,-244.22658,210.56741,16.259455,-24.946037,-26.862566,-36.808384,-20.823511,10.257406,-3.5189462,-15.491453,1.67015,-3.3691506,4.0227394,7.4198856,-6.853903,-2.4167109,2.0256739,0.21780705,-10.433668,-8.579331,7.5223885,-3.5295286,-14.846239,-6.97301,-4.996919,-5.459303,-2.1289132,-6.164594,-7.6508384,-0.34420496,-7.8942466,-17.875654,-5.7153344,-0.35405472,-17.918835,-12.317559,6.5741367,-9.525068,-13.322381,-0.49360442,-8.87763,-9.581361,-5.815414,-3.1669507,0.525897,-2.0714064,-5.6634293,-12.01152,-5.957866,-6.5020294,-12.593212,3.1762178,13.149147,23.187145,31.972721,27.601774,26.087788,14.518684,1.8849344,-4.199522,0.108014084,0.13559748,0.733791,1.0,0.17631398,0.08319862,0.43793067,0.44518146,0.04213573,0.39558128,0.65582675,0.08779854
1351.0459,0.10448979591836735,-244.93578,207.13705,16.033688,-21.826023,-28.676939,-39.151276,-20.64082,11.046873,-3.847059,-15.679212,3.4018953,-0.38244978,7.8421316,6.678211,-9.522131,-0.43079126,3.8372283,1.3691039,-8.007823,-7.85009,5.457176,-4.343135,-11.473982,-4.277047,-4.533943,-5.8675656,-0.4780776,-2.9510992,-12.419649,-5.8124676,-3.6288137,-14.060981,-8.642405,-4.2679677,-17.726002,-9.868659,8.443602,-11.136745,-16.567028,3.1017783,-6.2501183,-13.495037,-6.4148345,-1.3546684,0.19024777,-4.468636,-5.5039935,-8.421473,-5.613744,-6.8844657,-11.285612,6.914982,19.017456,25.23792,33.781784,29.944668,25.214714,13.172269,-0.4930154,-4.496664,0.09260449,0.11837947,0.5735591,1.0,0.1949245,0.073798336,0.41295865,0.50881654,0.04344148,0.33009797,0.6681435,0.096998736
